TaskID,Pass
Java-1,1
Java-2,0
Java-3,0
Java-4,0
Java-5,0
Java-6,0
Java-7,0
Java-8,1
Java-9,0
Java-10,0
Java-11,0
Java-12,0
Java-13,1
Java-14,0
Java-15,0
Java-16,0
Java-17,0
Java-18,0
Java-19,0
Java-20,0
Java-21,0
Java-22,0
Java-23,0
Java-24,0
Java-25,0
Java-26,0
Java-27,0
Java-28,0
Java-29,0
Java-30,0
Java-31,0
Java-32,0
Java-33,0
Java-34,0
Java-35,0
Java-36,0
Java-37,0
Java-38,1
Java-39,0
Java-40,0
Java-41,0
Java-42,0
Java-43,0
Java-44,0
Java-45,0
Java-46,0
Java-47,0
Java-48,0
Java-49,0
Java-50,0
Java-51,0
Java-52,0
Java-53,0
